i,n_ratings,title
1551,3,"Hunted, The (1995)"
1552,4,"Underneath, The (1995)"
1553,2,Safe Passage (1994)
1554,5,"Secret Adventures of Tom Thumb, The (1993)"
1555,2,Condition Red (1995)
1556,1,Yankee Zulu (1994)
1557,7,Aparajito (1956)
1558,1,Hostile Intentions (1994)
1559,4,Clean Slate (Coup de Torchon) (1981)
1560,1,Tigrero: A Film That Was Never Made (1994)
1561,1,"Eye of Vichy, The (Oeil de Vichy, L') (1993)"
1562,1,"Promise, The (Versprechen, Das) (1994)"
1563,1,To Cross the Rubicon (1991)
1564,1,Daens (1992)
1565,1,"Man from Down Under, The (1943)"
1566,1,Careful (1992)
1567,1,Vermont Is For Lovers (1992)
1568,1,"Vie est belle, La (Life is Rosey) (1987)"
1569,1,Quartier Mozart (1992)
1570,1,Touki Bouki (Journey of the Hyena) (1973)
1571,1,Wend Kuuni (God's Gift) (1982)
1572,2,Spirits of the Dead (Tre passi nel delirio) (1968)
1573,1,Pharaoh's Army (1995)
1574,1,"I, Worst of All (Yo, la peor de todas) (1990)"
1575,1,"Hungarian Fairy Tale, A (1987)"
1576,1,"Death in the Garden (Mort en ce jardin, La) (1956)"
1577,2,"Collectionneuse, La (1967)"
1578,1,Baton Rouge (1988)
1579,1,Liebelei (1933)
1580,1,"Woman in Question, The (1950)"
1581,1,T-Men (1947)
1582,1,"Invitation, The (Zaproszenie) (1986)"
1583,1,"Symphonie pastorale, La (1946)"
1584,2,American Dream (1990)
1585,1,Lashou shentan (1992)
1586,1,Terror in a Texas Town (1958)
1587,2,Salut cousin! (1996)
1588,4,Schizopolis (1996)
1589,2,"To Have, or Not (1995)"
1590,6,Duoluo tianshi (1995)
1591,5,"Magic Hour, The (1998)"
1592,1,Death in Brunswick (1991)
1593,2,Everest (1998)
1594,1,Shopping (1994)
1595,1,Nemesis 2: Nebula (1995)
1596,5,Romper Stomper (1992)
1597,6,City of Industry (1997)
1598,1,Someone Else's America (1995)
1599,4,Guantanamera (1994)
1600,1,Office Killer (1997)
1601,3,"Price Above Rubies, A (1998)"
1602,1,Angela (1995)
1603,1,He Walked by Night (1948)
1604,4,Love Serenade (1996)
1605,1,Deceiver (1997)
1606,3,Hurricane Streets (1998)
1607,4,Buddy (1997)
1608,3,B*A*P*S (1997)
1609,3,"Truth or Consequences, N.M. (1997)"
1610,2,Intimate Relations (1996)
1611,4,"Leading Man, The (1996)"
1612,1,Tokyo Fist (1995)
1613,1,"Reluctant Debutante, The (1958)"
1614,10,Warriors of Virtue (1997)
1615,1,Desert Winds (1995)
1616,2,Hugo Pool (1997)
1617,1,King of New York (1990)
1618,1,All Things Fair (1996)
1619,9,"Sixth Man, The (1997)"
1620,1,Butterfly Kiss (1995)
1621,3,"Paris, France (1993)"
1622,3,"Cérémonie, La (1995)"
1623,1,Hush (1998)
1624,1,Nightwatch (1997)
1625,1,Nobody Loves Me (Keiner liebt mich) (1994)
1626,1,"Wife, The (1995)"
1627,4,Lamerica (1994)
1628,2,Nico Icon (1995)
1629,1,"Silence of the Palace, The (Saimt el Qusur) (1994)"
1630,2,"Slingshot, The (1993)"
1631,1,Land and Freedom (Tierra y libertad) (1995)
1632,1,Á köldum klaka (Cold Fever) (1994)
1633,1,Etz Hadomim Tafus (Under the Domin Tree) (1994)
1634,1,Two Friends (1986) 
1635,1,Brothers in Trouble (1995)
1636,1,Girls Town (1996)
1637,1,Normal Life (1996)
1638,3,Bitter Sugar (Azucar Amargo) (1996)
1639,1,"Eighth Day, The (1996)"
1640,1,Dadetown (1995)
1641,2,Some Mother's Son (1996)
1642,4,Angel Baby (1995)
1643,2,Sudden Manhattan (1996)
1644,1,"Butcher Boy, The (1998)"
1645,2,Men With Guns (1997)
1646,1,Hana-bi (1997)
1647,1,"Niagara, Niagara (1997)"
1648,1,"Big One, The (1997)"
1649,1,"Butcher Boy, The (1998)"
1650,1,"Spanish Prisoner, The (1997)"
1651,3,Temptress Moon (Feng Yue) (1996)
1652,1,Entertaining Angels: The Dorothy Day Story (1996)
1653,1,Chairman of the Board (1998)
1654,1,"Favor, The (1994)"
1655,2,Little City (1998)
1656,1,Target (1995)
1657,3,"Substance of Fire, The (1996)"
1658,1,Getting Away With Murder (1996)
1659,1,Small Faces (1995)
1660,1,"New Age, The (1994)"
1661,2,Rough Magic (1995)
1662,1,Nothing Personal (1995)
1663,4,8 Heads in a Duffel Bag (1997)
1664,1,"Brother's Kiss, A (1997)"
1665,1,Ripe (1996)
1666,1,"Next Step, The (1995)"
1667,1,Wedding Bell Blues (1996)
1668,1,MURDER and murder (1996)
1669,1,Tainted (1998)
1670,1,"Further Gesture, A (1996)"
1671,2,Kika (1993)
1672,1,Mirage (1995)
1673,1,Mamma Roma (1962)
1674,1,"Sunchaser, The (1996)"
1675,1,"War at Home, The (1996)"
1676,1,Sweet Nothing (1995)
1677,1,Mat' i syn (1997)
1678,1,B. Monkey (1998)
1679,1,Sliding Doors (1998)
1680,1,You So Crazy (1994)
1681,1,Scream of Stone (Schrei aus Stein) (1991)
